1;antlr.antlr;antlr;ANTLR - фреймворк для создания компиляторов и интерпретаторов языков программирования
2;aopalliance.aopalliance;aopalliance;AOP Alliance - набор интерфейсов для работы с аспектно-ориентированным программированием в Java
3;ar.com.hjg.pngj;pngj;pngj - библиотека для работы с форматом PNG в Java
4;asm.asm;asm;ASM - библиотека для модификации байт-кода классов Java во время выполнения
5;asm.asm-commons;asm-commons;вспомогательные классы для ASM
6;asm.asm-parent;asm-parent;родительский pom-модуль для ASM
7;asm.asm-tree;asm-tree;библиотека для парсинга и манипуляции с деревом класса ASM
8;avalon-framework.avalon-framework;avalon-framework;Avalon - компонентная модель для разработки enterprise приложений на Java
9;backport-util-concurrent.backport-util-concurrent;backport-util-concurrent;реализация коллекций java.util.concurrent для старых версий Java
10;biz.aQute.bnd.biz.aQute.bndlib;biz.aQute.bndlib;Bndlib - библиотека для создания OSGibundles из jar файлов в Maven и Gradle
11;biz.aQute.bndlib;bndlib;Bndlib - библиотека для создания OSGibundles из jar файлов в Maven и Gradle
12;bsh.bsh;bsh;bsh (Bean Scripting Framework) - предназначена для интерпретации скриптов на различных языках программирования (Java, JavaScript, Python и др.) непосредственно в Java-приложении
13;c3p0.c3p0;c3p0;библиотека для управления пулами соединений с СУБД
14;cglib.cglib-nodep;cglib-nodep;библиотека для генерации динамических подклассов
15;ch.qos.cal10n.cal10n-api;cal10n-api;Cal10n - Java библиотека для интернационализации
16;ch.qos.cal10n.cal10n-parent;cal10n-parent;родительский pom модуль Cal10n
17;classworlds.classworlds;classworlds;ClassWorlds - загрузчик классов и модулей OSGi
18;com.amazonaws.aws-java-sdk-core;aws-java-sdk-core;ядро SDK AWS Java
19;com.amazonaws.aws-java-sdk-kms;aws-java-sdk-kms;SDK для работы с AWS KMS
20;com.amazonaws.aws-java-sdk-pom;aws-java-sdk-pom;родительский POM модуль SDK AWS Java
21;com.amazonaws.aws-java-sdk-s3;aws-java-sdk-s3;SDK для работы с AWS S3
22;com.bbn.openmap;openmap;OpenMap - система работы с геопространственными данными
23;com.bea.commonj.com.springsource.commonj;com.springsource.commonj;CommonJ - спецификации для взаимодействия с серверами приложений
24;com.beust.jcommander;jcommander;парсер командной строки для Java
25;com.catalysoft.swing.unicode.unicode_panel;unicode_panel;Swing компонент для отображения Юникод символов
26;com.fasterxml.classmate;classmate;класс для работы с типами Java при десериализации Jackson
27;com.fasterxml.jackson.core.jackson-annotations;jackson-annotations;аннотации модуля Jackson
28;com.fasterxml.jackson.core.jackson-core;jackson-core;ядро библиотеки Jackson для сериализации в JSON
29;com.fasterxml.jackson.core.jackson-databind;jackson-databind;связывание объектов Java и JSON модуля Jackson
30;com.fasterxml.jackson.jackson-parent;jackson-parent;родительский POM модуль Jackson
31;com.fasterxml.jackson.jaxrs.jackson-jaxrs-base;jackson-jaxrs-base;базовый интерфейс Jackson для JAX-RS
32;com.fasterxml.jackson.jaxrs.jackson-jaxrs-cbor-provider;jackson-jaxrs-cbor-provider;модуль Jackson для работы с CBOR в JAX-RS
33;com.fasterxml.jackson.jaxrs.jackson-jaxrs-json-provider;jackson-jaxrs-json-provider;модуль Jackson для работы с JSON в JAX-RS
34;com.fasterxml.jackson.jaxrs.jackson-jaxrs-providers;jackson-jaxrs-providers;основные провайдеры Jackson для JAX-RS
35;com.fasterxml.jackson.jaxrs.jackson-jaxrs-smile-provider;jackson-jaxrs-smile-provider;модуль Jackson для работы с SMILE в JAX-RS
36;com.fasterxml.jackson.jaxrs.jackson-jaxrs-xml-provider;jackson-jaxrs-xml-provider;модуль Jackson для работы с XML в JAX-RS
37;com.fasterxml.jackson.module.jackson-module-jaxb-annotations;jackson-module-jaxb-annotations;модуль интеграции Jackson и JAXB
38;com.fasterxml.oss-parent;oss-parent;родительский POM модуль проектов Apache
39;com.github.fommil.jniloader;jniloader;загрузчик native библиотек для Java
40;com.github.fommil.netlib.core;core;ядро численных библиотек Netlib
41;com.github.haifengl.smile-core;smile-core;одномерные матрицы Smile
42;com.github.haifengl.smile-data;smile-data;структуры данных Smile
43;com.github.haifengl.smile-graph;smile-graph;графовая библиотека Smile
44;com.github.haifengl.smile-math;smile-math;математические операции Smile
45;com.github.jeremysolarz.bootstrap-connector;bootstrap-connector;компоненты для подключения Java к базам данных
46;com.github.os72.protoc-jar;protoc-jar;генератор кода из .proto файлов Protocol Buffers
47;com.github.os72.protoc-jar-maven-plugin;protoc-jar-maven-plugin;Maven плагин для protoc-jar
48;com.github.rwl.jtransforms;jtransforms;быстрое выполнение преобразований Фурье
49;com.github.sarxos.oss-parent;oss-parent;родительский POM проектов sarxos
50;com.github.sarxos.webcam-capture;webcam-capture;каптюр веб-камеры на Java
51;com.github.sarxos.webcam-capture-parent;webcam-capture-parent;родительский POM webcam-capture
52;com.goebl.david-webb;david-webb;утилиты для работы с HTTP
53;com.googlecode.efficient-java-matrix-library.core;core;базовые классы численной библиотеки матриц
54;com.google.code.findbugs.jsr305;jsr305;стандарт аннотаций для проверки ошибок
55;com.google.code.gson.gson;gson;библиотека для сериализации Java классов в JSON
56;com.google.code.gson.gson-parent;gson-parent;родительский POM Gson
57;com.googlecode.javaewah.JavaEWAH;JavaEWAH;компактные битовые массивы
58;com.googlecode.json-simple.json-simple;json-simple;простая библиотека JSON для Java
59;com.googlecode.juniversalchardet.juniversalchardet;juniversalchardet;универсальный детектор кодировок
60;com.googlecode.matrix-toolkits-java.mtj;mtj;численные методы для работы с матрицами
61;com.googlecode.netlib-java.netlib-java;netlib-java;численные библиотеки Netlib
62;com.google.code.typica.typica;typica;математические библиотеки и утилиты
63;com.google.collections.google-collections;google-collections;коллекции, предшественник Guava
64;com.google.errorprone.error_prone_annotations;error_prone_annotations;аннотации для проверки ошибок
65;com.google.errorprone.error_prone_parent;error_prone_parent;родительский POM error_prone
66;com.google.google;google;родительский POM Google
67;com.google.guava.failureaccess;failureaccess;доступ к StackTraceElement
68;com.google.guava.guava;guava;основная библиотека Guava
69;com.google.guava.guava-parent;guava-parent;родительский POM Guava
70;com.google.guava.listenablefuture;listenablefuture;асинхронные ListenableFuture
71;com.google.j2objc.j2objc-annotations;j2objc-annotations;аннотации для j2objc
72;com.google.protobuf.protobuf-java;protobuf-java;библиотека Protocol Buffers
73;com.google.protobuf.protobuf-parent;protobuf-parent;родительский POM protobuf
74;com.h2database.h2;h2;свободная SQL база данных H2
75;com.hypnoticocelot.jaxrs-doclet;jaxrs-doclet;генерация документации из JAX-RS
76;com.ibm.icu.icu4j;icu4j;International Components for Unicode
77;com.ibm.websphere.uow;uow;Java EE интерфейсы управления транзакциями
78;com.intellij.annotations;annotations;аннотации IDEA для генерации кода
79;com.jayway.restassured.json-path;json-path;проверки JSON путей
80;com.jayway.restassured.rest-assured;rest-assured;тестирование REST API
81;com.jayway.restassured.rest-assured-common;rest-assured-common;общие ресурсы rest-assured
82;com.jayway.restassured.rest-assured-parent;rest-assured-parent;родительский POM rest-assured
83;com.jayway.restassured.xml-path;xml-path;проверки XML путей
84;com.jcraft.jsch;jsch;клиент SSH2 и SFTP для Java
85;com.jgoodies.looks;looks;стандартные виджеты внешнего вида Look and Feel
86;com.kohlschutter.junixsocket.junixsocket-common;junixsocket-common;общие классы для работы с Unix доменом sockets
87;com.kohlschutter.junixsocket.junixsocket-demo;junixsocket-demo;примеры использования junixsocket
88;com.kohlschutter.junixsocket.junixsocket-mysql;junixsocket-mysql;коннектор junixsocket для MySQL
89;com.kohlschutter.junixsocket.junixsocket-native;junixsocket-native;native библиотека sockets
90;com.kohlschutter.junixsocket.junixsocket-native-common;junixsocket-native-common;общие классы native библиотеки
91;com.kohlschutter.junixsocket.junixsocket-parent;junixsocket-parent;родительский POM junixsocket
92;com.kohlschutter.junixsocket.junixsocket-rmi;junixsocket-rmi;RMI провайдер на основе sockets
93;com.kohlschutter.kohlschutter-parent;kohlschutter-parent;родительский POM проектов Kohlschutter
94;com.lowagie.itext;itext;библиотека для работы с PDF
95;com.miglayout.miglayout;miglayout;Layouter для GUI составных компонентов
96;com.miglayout.miglayout-core;miglayout-core;ядро MigLayout
97;com.miglayout.miglayout-parent;miglayout-parent;родительский POM MigLayout
98;com.miglayout.miglayout-swing;miglayout-swing;интеграция MigLayout со Swing
99;com.mockrunner.mockrunner;mockrunner;тестовый двойник для J2EE компонентов
100;commons-beanutils.commons-beanutils;commons-beanutils;утилиты конвертации Bean
101;commons-chain.commons-chain;commons-chain;цепочка обработчиков запросов
102;commons-cli.commons-cli;commons-cli;парсер командной строки
